tensor([[4.6062]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.4271]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2061]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0337]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2870]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7833]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9206]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7675]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3697]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3834]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-0.0226]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7806]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.5929]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.4033]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8631]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9954]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7888]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.3940]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.0849]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.0124]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1690]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.8925]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.6654]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.1819]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[-1.3678]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8955]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.8287]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.6292]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9810]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.7545]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6106]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5773]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.6336]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9257]], device='cuda:0', grad_fn=<SumBackward1>)
