tensor([[5.8568]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.0655]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.2398]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.7023]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.4350]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6580]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1949]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.6499]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.5837]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2433]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2055]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2957]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2980]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.6863]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.0010]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.2906]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0180]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4919]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7319]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.1908]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.0864]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.6655]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.4267]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[7.2196]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9866]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2473]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.3233]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8395]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5631]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.7514]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9649]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.8366]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[0.3794]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.9972]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.5597]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.8592]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.4304]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.9800]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[6.2881]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0241]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.1808]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[5.0244]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.2076]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[4.3606]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[3.4192]], device='cuda:0', grad_fn=<SumBackward1>)
tensor([[2.7292]], device='cuda:0', grad_fn=<SumBackward1>)
